exhibition,edition,latest_basis,source_url,participant_pages_seen,extracted_title_count,coverage_status,note,error_count,errors_json
Berlin Biennale,8th Berlin Biennale (no formal theme; curatorial framework on history/Berlin) — Juan A. Gaitán (2014),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/berlin-biennial/2014/photo-tour/museen-dahlem/albertobaraya3,,31,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 30 high / 0 medium / 1 low.",0,[]
Berlin Biennale,7th Berlin Biennale: Forget Fear (2012),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.berlinbiennale.de/en/biennalen/22/forget-fear,,23,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 22 high / 1 medium / 0 low.",0,[]
Carnegie International,58th Carnegie International (Is it morning for you yet?) (2022),Historical edition; collected 2026-05-29 for big-data art-title research,https://carnegieart.org/people/edgar-calel/,,24,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 15 high / 9 medium / 0 low.",0,[]
Carnegie International,"57th Carnegie International, 2018 (no thematic title; explores ""international"")",Historical edition; collected 2026-05-29 for big-data art-title research,https://elanatsui.art/artworks/el-anatsui-three-angles-2018,,33,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 28 high / 3 medium / 2 low.",0,[]
Carnegie International,"56th Carnegie International, 2013 (no overarching theme) (year 2013, theme: No single overarching theme; structured around new international art, a playground, the collection, and the city of Pittsburgh)",Historical edition; collected 2026-05-29 for big-data art-title research,https://web.archive.org/web/20131118193506/http://ci13.cmoa.org/artwork/0101,,189,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 189 high / 0 medium / 0 low.",0,[]
Carnegie International,"55th Carnegie International (Life on Mars), 2008",Historical edition; collected 2026-05-29 for big-data art-title research,https://www.themoderninstitute.com/artists/richard-hughes/exhibitions/life-on-mars-55th-carnegie-international-carnegie-museum-of-art-pittsburgh-2008/1644/,,33,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 13 high / 17 medium / 3 low.",0,[]
Carnegie International,"54th Carnegie International, 2004 (no thematic title)",Historical edition; collected 2026-05-29 for big-data art-title research,https://smarthistory.org/julie-mehretu-stadia-ii/,,17,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 6 high / 10 medium / 1 low.",0,[]
Carnegie International,53rd Carnegie International 1999/2000 (no thematic title) (1999),Historical edition; collected 2026-05-29 for big-data art-title research,https://olafureliasson.net/artwork/your-natural-denudation-inverted-1999/,,9,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 6 high / 2 medium / 1 low.",0,[]
Carnegie International,"Carnegie International 1995 (no thematic title) (year 1995, theme: No formal theme; curated by Richard Armstrong (with Paola Morsiani), 35+ artists from 16 countries)",Historical edition; collected 2026-05-29 for big-data art-title research,https://www.artforum.com/columns/carnegie-internation-1995-202347/,,4,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 4 high / 0 medium / 0 low.",0,[]
documenta,documenta 14 - Learning from Athens (2017),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/documenta/2017/documenta-14-kassel/01-friedrichsplatz/marta-minujin-2,,27,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 24 high / 3 medium / 0 low.",0,[]
documenta,dOCUMENTA (13): Collapse and Recovery (2012),Historical edition; collected 2026-05-29 for big-data art-title research,http://d13.documenta.de/research/research/view/untilled-2011-2012,,24,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 4 high / 19 medium / 1 low.",0,[]
documenta,"documenta 12 (2007, theme: Three leitmotifs: 'Is modernity our antiquity?', 'What is bare life?', 'What is to be done?'; artistic director Roger M. Buergel with Ruth Noack)",Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/documenta/2007/fridericianum/ai-weiwei,,34,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 33 high / 1 medium / 0 low.",0,[]
documenta,Documenta11: Postcolonial / 'Platforms' framework (2002),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/documenta/2002/fridericianum/mona-hatoum,,29,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 27 high / 2 medium / 0 low.",0,[]
documenta,documenta X: Politically and theoretically driven 'Retroperspective' / interrogation of globalization (1997),Historical edition; collected 2026-05-29 for big-data art-title research,https://documenta.de/en/retrospective/documenta-x,,20,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 10 high / 9 medium / 1 low.",0,[]
documenta,documenta IX: A documenta of locations (1992),Historical edition; collected 2026-05-29 for big-data art-title research,https://documenta.de/en/retrospective/documenta-ix,,24,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 19 high / 5 medium / 0 low.",0,[]
documenta,"documenta 8 (year 1987, theme: Socio-political responsibility of art; elevation of design to art (artistic directors Manfred Schneckenburger and Edward F. Fry))",Historical edition; collected 2026-05-29 for big-data art-title research,https://documenta.de/en/retrospective/documenta-8,,19,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 13 high / 6 medium / 0 low.",0,[]
Gwangju Biennale,14th Gwangju Biennale: soft and weak like water (2023),Historical edition; collected 2026-05-29 for big-data art-title research,https://biennialfoundation.org/2023/02/soft-and-weak-like-water/,,17,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 14 high / 3 medium / 0 low.",0,[]
Gwangju Biennale,"13th Gwangju Biennale: Minds Rising, Spirits Tuning (2021)",Historical edition; collected 2026-05-29 for big-data art-title research,https://13thgwangjubiennale.org/artists/jacolby-satterwhite/,,65,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 11 high / 54 medium / 0 low.",0,[]
Gwangju Biennale,12th Gwangju Biennale: Imagined Borders (2018),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.artasiapacific.com/ideas/highlights-from-gwangju-biennale-2018-imagined-borders-part-2/,,34,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 15 high / 18 medium / 1 low.",0,[]
Gwangju Biennale,11th Gwangju Biennale: The Eighth Climate (What Does Art Do?) (2016),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/gwangju-biennale/2016/img/metahaven,,39,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 29 high / 10 medium / 0 low.",0,[]
Gwangju Biennale,10th Gwangju Biennale: Burning Down the House (2014),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.artforum.com/print/201407/10th-gwangju-biennale-burning-down-the-house-48020,,26,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 2 high / 24 medium / 0 low.",0,[]
Gwangju Biennale,9th Gwangju Biennale: ROUNDTABLE (2012),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/gwangju-biennale/2012/tour/02-kurniawan,,36,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 25 high / 11 medium / 0 low.",0,[]
Istanbul Biennial,"17th Istanbul Biennial — Composting (no formal title; curated by Ute Meta Bauer, Amar Kanwar, David Teh) (2022)",Historical edition; collected 2026-05-29 for big-data art-title research,https://bienal.iksv.org/en/biennial-archive/17th-istanbul-biennial,,27,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 12 high / 15 medium / 0 low.",0,[]
Istanbul Biennial,16th Istanbul Biennial — The Seventh Continent (2019),Historical edition; collected 2026-05-29 for big-data art-title research,https://bienal.iksv.org/en/biennial-archive/16th-istanbul-biennial,,61,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 8 high / 51 medium / 2 low.",0,[]
Istanbul Biennial,15th Istanbul Biennial — a good neighbour (2017),Historical edition; collected 2026-05-29 for big-data art-title research,https://bienal.iksv.org/en/biennial-archive/15th-istanbul-biennial,,24,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 5 high / 18 medium / 1 low.",0,[]
Istanbul Biennial,14th Istanbul Biennial — SALTWATER: A Theory of Thought Forms (2015),Historical edition; collected 2026-05-29 for big-data art-title research,https://art-random.net/articles/magazines/saltwater/,,35,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 13 high / 22 medium / 0 low.",0,[]
Istanbul Biennial,"13th Istanbul Biennial — Mom, am I barbarian? (curated by Fulya Erdemci) (2013)",Historical edition; collected 2026-05-29 for big-data art-title research,https://bienal.iksv.org/en/biennial-archive/13th-istanbul-biennial,,16,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 9 high / 7 medium / 0 low.",0,[]
Istanbul Biennial,"12th Istanbul Biennial — Untitled (12th Istanbul Biennial), 2011 (curated by Adriano Pedrosa & Jens Hoffmann)",Historical edition; collected 2026-05-29 for big-data art-title research,https://bienal.iksv.org/en/biennial-archive/12th-istanbul-biennial,,35,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 4 high / 25 medium / 6 low.",0,[]
Istanbul Biennial,"11th Istanbul Biennial — What Keeps Mankind Alive? (curated by WHW / What, How & for Whom) (2009)",Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/istanbul-biennial/2009/tour/antrepo/fotouhi-naprushkina,,51,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 46 high / 4 medium / 1 low.",0,[]
Istanbul Biennial,"10th Istanbul Biennial — Not Only Possible, But Also Necessary: Optimism in the Age of Global War (2007)",Historical edition; collected 2026-05-29 for big-data art-title research,https://bienal.iksv.org/en/biennial-archive/10th-international-istanbul-biennial,,29,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 8 high / 21 medium / 0 low.",0,[]
Liverpool Biennial,12th Liverpool Biennial: uMoya: The Sacred Return of Lost Things (2023),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennial.com/wp-content/uploads/2023/06/LB2023-Guide-Digital-Book-as-pages.pdf,,45,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 44 high / 1 medium / 0 low.",0,[]
Liverpool Biennial,11th Liverpool Biennial: The Stomach and the Port (2021),Historical edition; collected 2026-05-29 for big-data art-title research,https://liverpoolbiennial2021.com/visit/trails/public-artwork-trail/,,49,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 47 high / 2 medium / 0 low.",0,[]
Liverpool Biennial,"10th Liverpool Biennial: Beautiful world, where are you? (2018)",Historical edition; collected 2026-05-29 for big-data art-title research,https://archive.biennial.com/2018/exhibition/artists/madiha-aijaz,,89,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 86 high / 3 medium / 0 low.",0,[]
Liverpool Biennial,"9th Liverpool Biennial 鈥?Episodes: Ancient Greece, Chinatown, Children's Episode, Flashback, Software, Monuments from the Future (2016)",Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennial.com/project/lawrence-abu-hamdan-hummingbird-clock/,,67,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 51 high / 15 medium / 1 low.",0,[]
Liverpool Biennial,8th Liverpool Biennial: A Needle Walks into a Haystack (2014),Historical edition; collected 2026-05-29 for big-data art-title research,https://archive.biennial.com/2014/exhibition/artists,,53,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 50 high / 3 medium / 0 low.",0,[]
Liverpool Biennial,7th Liverpool Biennial: The Unexpected Guest (2012),Historical edition; collected 2026-05-29 for big-data art-title research,https://archive.biennial.com/2012/exhibition/artists/doug-aitken,,51,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 49 high / 2 medium / 0 low.",0,[]
Liverpool Biennial,6th Liverpool Biennial 鈥?Touched (2010),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennial.com/artists/magdalena-abakanowicz/,,74,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 67 high / 7 medium / 0 low.",0,[]
Liverpool Biennial,5th Liverpool Biennial: MADE UP (2008),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennial.com/artists/ai-weiwei/,,40,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 40 high / 0 medium / 0 low.",0,[]
Bienal de Sao Paulo,35th Bienal de Sao Paulo - choreographies of the impossible (2023),Historical edition; collected 2026-05-29 for big-data art-title research,https://artreview.com/35th-bienal-de-sao-paulo-review-choreographies-of-the-impossible/,,39,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 6 high / 25 medium / 8 low.",0,[]
Bienal de Sao Paulo,"34th Bienal de Sao Paulo - Though it's dark, still I sing (Faz escuro mas eu canto) (2021)",Historical edition; collected 2026-05-29 for big-data art-title research,https://www.phileas.art/biennials/bienaldesaopaulo/philippfleischmann,,40,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 13 high / 24 medium / 3 low.",0,[]
Bienal de Sao Paulo,33rd Bienal de Sao Paulo: Affective Affinities (2018),Historical edition; collected 2026-05-29 for big-data art-title research,http://web.archive.org/web/20260306160038/http://33.bienal.org.br/en/exposicao-individual-detalhe/5316,,26,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 18 high / 6 medium / 2 low.",0,[]
Bienal de Sao Paulo,32nd Bienal de Sao Paulo: Live Uncertainty (Incerteza Viva) (2016),Historical edition; collected 2026-05-29 for big-data art-title research,https://artsandculture.google.com/story/32nd-bienal-de-s%C3%A3o-paulo-a-to-c-bienal-de-sao-paulo/jQUBNgBAX29WLg?hl=en,,85,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 83 high / 2 medium / 0 low.",0,[]
Bienal de Sao Paulo,31st Bienal de Sao Paulo: How to talk about things that don't exist (2014),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sao-paulo-biennial/2014/artists,,70,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 8 high / 62 medium / 0 low.",0,[]
Bienal de Sao Paulo,30th Bienal de Sao Paulo - The Imminence of Poetics (2012),Historical edition; collected 2026-05-29 for big-data art-title research,https://artreview.com/30th-bienal-de-so-paulo-the-imminence-of-poetics/,,9,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 2 high / 6 medium / 1 low.",0,[]
Sharjah Biennial,Sharjah Biennial 16: to carry (2025),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sharjah-biennial/2025/emirate-of-sharjah/kalba-ice-factory/kate-newby,,61,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 55 high / 6 medium / 0 low.",0,[]
Sharjah Biennial,Sharjah Biennial 15: Thinking Historically in the Present (2023),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sharjah-biennial/2023/sharjah-city/bait-al-serkal/aline-motta,,33,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 19 high / 14 medium / 0 low.",0,[]
Sharjah Biennial,Sharjah Biennial 14: Leaving the Echo Chamber (2019),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.sharjahart.org/en/sharjah-biennial/sb-14/projects/,,44,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 41 high / 3 medium / 0 low.",0,[]
Sharjah Biennial,Sharjah Biennial 13: Tamawuj (2017),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.artasiapacific.com/shows/sharjah-biennial-13-tamawuj-day-1/,,38,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 6 high / 31 medium / 1 low.",0,[]
Sharjah Biennial,"Sharjah Biennial 12: The past, the present, the possible (2015)",Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sharjah-biennial/2015/tour/saf-art-spaces-2/cinthia-marcelle,,26,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 23 high / 3 medium / 0 low.",0,[]
Sharjah Biennial,Sharjah Biennial 11: Re:emerge - Towards a New Cultural Cartography (2013),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sharjah-biennial/2013/tour/saf-art-spaces/43-yazan-khalili,,45,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 44 high / 1 medium / 0 low.",0,[]
Sharjah Biennial,Sharjah Biennial 10: Plot for a Biennial (2011),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sharjah-biennial/2011/arts-area/richard-ibghy-marilou-lemmens,,35,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 35 high / 0 medium / 0 low.",0,[]
Sharjah Biennial,Sharjah Biennial 9: Provisions for the Future / Past of the Coming Days (2009),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/sharjah-biennial/2009/sharjah-art-museum-2/basma-al-sharif,,39,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 34 high / 5 medium / 0 low.",0,[]
Biennale of Sydney,24th Biennale of Sydney — Ten Thousand Suns (2024),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennaleofsydney.art/wp-content/uploads/2024/03/Media-Release_Biennale-of-Sydney_February-2024.pdf,,48,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 46 high / 2 medium / 0 low.",0,[]
Biennale of Sydney,23rd Biennale of Sydney: rīvus (2022),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.studiointernational.com/23rd-biennale-sydney-rivus-2022-review-australia,,41,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 34 high / 7 medium / 0 low.",0,[]
Biennale of Sydney,22nd Biennale of Sydney: NIRIN (2020),Historical edition; collected 2026-05-29 for big-data art-title research,https://milanigallery.com.au/exhibitions/22nd-biennale-of-sydney-2020-nirin/,,31,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 12 high / 19 medium / 0 low.",0,[]
Biennale of Sydney,21st Biennale of Sydney: SUPERPOSITION: Equilibrium & Engagement (2018),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennaleofsydney.art/wp-content/uploads/2021/11/21nd-Biennale-of-Sydney-2018-Exhibition-Report.pdf.pdf,,32,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 32 high / 0 medium / 0 low.",0,[]
Biennale of Sydney,20th Biennale of Sydney: The future is already here – it's just not evenly distributed (2016),Historical edition; collected 2026-05-29 for big-data art-title research,https://www.biennaleofsydney.art/biennale/20th-biennale-of-sydney-2016/,,28,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 12 high / 16 medium / 0 low.",0,[]
Biennale of Sydney,19th Biennale of Sydney: You Imagine What You Desire (2014),Historical edition; collected 2026-05-29 for big-data art-title research,https://artsandculture.google.com/story/19th-biennale-of-sydney-highlights-biennale-of-sydney/YQXxbgd5EYABIg?hl=en,,34,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 3 high / 31 medium / 0 low.",0,[]
