exhibition,edition,latest_basis,artist,title,work_year,confidence,source_url,extraction_method,raw_caption_or_context,coverage_note
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Fredj Moussa,لاد البربر [Land of Barbar],2025,high,https://13.berlinbiennale.de/en/artists/fredj-moussa,official_caption,"Fredj Moussa, لاد البربر [Land of Barbar], 2025, video still © VG Bild-Kunst, Bonn 2025",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Freeszfe,On the Blockade (the autonomy fights of SZFE Budapest),2020,high,https://13.berlinbiennale.de/en/artists/freeszfe,official_caption,"Freeszfe, On the Blockade (the autonomy fights of SZFE Budapest), 2020/21, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Freeszfe; image: Diana Pfammatter and Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Gabriel Alarcón,Las montañas saben lo que hicieron [The mountains know what they did],2025,high,https://13.berlinbiennale.de/en/artists/gabriel-alarcon,official_caption,"Gabriel Alarcón, Las montañas saben lo que hicieron [The mountains know what they did], 2025, installation view, 13th Berlin Biennale, Hamburger Bahnhof – Nationalgalerie der Gegenwart, 2025. © Gabriel Alarcón; image: Aristidis Schnelzer",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Gabriel Alarcón,Retablo para cargar en la espalda [Retablo to carry on the back],2025,high,https://13.berlinbiennale.de/en/artists/gabriel-alarcon,official_caption,"Gabriel Alarcón, Retablo para cargar en la espalda [Retablo to carry on the back], 2025, installation view, 13th Berlin Biennale, Hamburger Bahnhof – Nationalgalerie der Gegenwart, 2025. © Gabriel Alarcón; image: Aristidis Schnelzer",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Gabriel Alarcón,Retablos para compartir [Retablos to share],2025,high,https://13.berlinbiennale.de/en/artists/gabriel-alarcon,official_caption,"Gabriel Alarcón, Retablos para compartir [Retablos to share], 2025, installation view, 13th Berlin Biennale, Hamburger Bahnhof – Nationalgalerie der Gegenwart, 2025. © Gabriel Alarcón; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Gabriel Alarcón,Your Waste is my Glam,2025,high,https://13.berlinbiennale.de/en/artists/gabriel-alarcon,official_caption,"Gabriel Alarcón, Your Waste is my Glam, 2025, installation view, 13th Berlin Biennale, Hamburger Bahnhof – Nationalgalerie der Gegenwart, 2025. © Gabriel Alarcón; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Gernot Wieland,Family Constellation with a Fox,2025,high,https://13.berlinbiennale.de/en/artists/gernot-wieland,official_caption,"Gernot Wieland, Family Constellation with a Fox, 2025, video still © VG Bild-Kunst, Bonn 2025",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Han Bing & Kashmiri Cabbage Walker,Walking the Cabbage in Berlin,2025,high,https://13.berlinbiennale.de/en/artists/han-bing-kashmiri-cabbage-walker,official_caption,"Han Bing & Kashmiri Cabbage Walker, Walking the Cabbage in Berlin, 2025, 13. Berlin Biennale, KW Institute for Contemporary Art, 2025. © Han Bing & Kashmiri Cabbage Walker; image: Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Helena Uambembe,How To Make a Mud Cake,2021,high,https://13.berlinbiennale.de/en/artists/helena-uambembe,official_caption,"Helena Uambembe, How To Make a Mud Cake, 2021/2025, installation view, 13. Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Helena Uambembe; image: Marvin Systermans",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Htein Lin,Prison Paintings from the 000235-series,1999–2003,high,https://13.berlinbiennale.de/en/artists/htein-lin,official_caption,"Htein Lin, Prison Paintings from the 000235-series, 1999–2003, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Htein Lin; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Htein Lin,The Return,2000,high,https://13.berlinbiennale.de/en/artists/htein-lin,official_caption,"Htein Lin, The Return, 2000 © Htein Lin",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Huda Lutfi,The Fool’s Journal,2013,high,https://13.berlinbiennale.de/en/artists/huda-lutfi,official_caption,"Huda Lutfi, The Fool’s Journal, 2013/14, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Huda Lutfi; Gypsum Gallery, Cairo; The Third Line Gallery, Dubai; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Iris Yingzen,Garden of Hope,2025,high,https://13.berlinbiennale.de/en/artists/iris-yingzen,official_caption,"Front: Anawana Haloba, Looking for Mukamusaba – An Experimental Opera, 2024/25. © Anawana Haloba; Sammlung Hartwig Art Foundation; Back: Iris Yingzen, Garden of Hope, 2025. © Iris Yingzen; image: Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Isaac Kalambata,Bamucapi [Witchfinders],2025,high,https://13.berlinbiennale.de/en/artists/isaac-kalambata,official_caption,"Isaac Kalambata, Bamucapi [Witchfinders], 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Isaac Kalambata; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Isaac Kalambata,Mizyu [Roots / medicine source],2025,high,https://13.berlinbiennale.de/en/artists/isaac-kalambata,official_caption,"Isaac Kalambata, Mizyu [Roots / medicine source], 2025, detail, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. Courtesy Isaac Kalambata; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Jane Jin Kaisen,Halmang,2023,high,https://13.berlinbiennale.de/en/artists/jane-jin-kaisen,official_caption,"Jane Jin Kaisen, Halmang, 2023, video still © Jane Jin Kaisen/VG Bild-Kunst, Bonn 2025",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Jane Jin Kaisen,including Halmang,2023,high,https://13.berlinbiennale.de/en/artists/jane-jin-kaisen,official_caption,"Jane Jin Kaisen, including Halmang, 2023 (left); Portal, 2024 (right), installation view, 13th Berlin Biennale, Hamburger Bahnhof – Nationalgalerie der Gegenwart, 2025. © Jane Jin Kaisen/VG Bild-Kunst, Bonn 2025; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Judith Blum Reddy,Futurama,2015,high,https://13.berlinbiennale.de/en/artists/judith-blum-reddy,official_caption,"Judith Blum Reddy, Futurama, 2015, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Judith Blum Reddy; image: Diana Pfammatter and Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Judith Blum Reddy,I’m Afraid of Americans,2018,high,https://13.berlinbiennale.de/en/artists/judith-blum-reddy,official_caption,"Judith Blum Reddy, I’m Afraid of Americans, 2018, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Judith Blum Reddy; image: Diana Pfammatter and Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Kazuko Miyamoto,Protest Parade “Rebuilding the Garden,1986,high,https://13.berlinbiennale.de/en/artists/kazuko-miyamoto,official_caption,"Front: Kazuko Miyamoto, Protest Parade “Rebuilding the Garden”, 1986. © Kazuko Miyamoto; Back: Etcétera, LIBERATE MARS, 2025. © Etcétera; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Kazuko Miyamoto,Waiting for the Carnival,1983,high,https://13.berlinbiennale.de/en/artists/kazuko-miyamoto,official_caption,"Kazuko Miyamoto, Waiting for the Carnival, 1983, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Kazuko Miyamoto; EXILE; photographer unknown; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,"Kikí Roca, Las Chicas del Chancho y el Corpiño",El Corpiño [The Bra],1995,high,https://13.berlinbiennale.de/en/artists/kiki-roca-las-chicas-del-chancho-y-el-corpino,official_caption,"Kikí Roca, Las Chicas del Chancho y el Corpiño, El Corpiño [The Bra], 1995/2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Kikí Roca, Las Chicas del Chancho y el Corpiño; image: Diana Pfammatter; Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Larissa Araz,"And through those hills and plains by most forgot, And by these eyes not seen, for evermore",2025,high,https://13.berlinbiennale.de/en/artists/larissa-araz,official_caption,"Larissa Araz, And through those hills and plains by most forgot, And by these eyes not seen, for evermore, 2025, installation view, 13th Berlin Biennale, Hamburger Bahnhof – Nationalgalerie der Gegenwart, 2025. © Larissa Araz; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Luzie Meyer,Berlin Piece for Voice and Tap Dance,2025,high,https://13.berlinbiennale.de/en/artists/luzie-meyer,official_caption,"Luzie Meyer, Berlin Piece for Voice and Tap Dance, 2025, installation view, 13th Berlin Biennale, Sophiensæle, 2025. © Luzie Meyer; Sweetwater, Berlin; Fanta-MLN, Milan; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Luzie Meyer,Tap Dance Board,2025,high,https://13.berlinbiennale.de/en/artists/luzie-meyer,official_caption,"Luzie Meyer, Tap Dance Board, 2025, installation view, 13th Berlin Biennale, Sophiensæle, 2025. © Luzie Meyer; Sweetwater, Berlin; Fanta-MLN, Milan; image: Aristidis Schnelzer",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Margherita Moscardini,The Stairway,2025,high,https://13.berlinbiennale.de/en/artists/margherita-moscardini,official_caption,"Front: Margherita Moscardini, The Stairway, 2025 © Margherita Moscardini; Gian Marco Casini, Livorno; Back: Armin Linke, Negotiation Tables, 2025, © Armin Linke, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Memory Biwa,Ouma’s!Hàna̋s: Of Wor(l)ds Turned to Dust. Prossession Peda’Gogo and Yvette Abrahams Reading Cycle,2025,high,https://13.berlinbiennale.de/en/artists/memory-biwa,official_caption,"Memory Biwa, Ouma’s !Hàna̋s: Of Wor(l)ds Turned to Dust. Prossession Peda’Gogo and Yvette Abrahams Reading Cycle, 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Memory Biwa; image: Marvin Systermans",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Merle Kröger,Was fehlt – Eksik olan – What’s missing,2025,high,https://13.berlinbiennale.de/en/artists/merle-kroeger,official_caption,"Merle Kröger, Was fehlt – Eksik olan – What’s missing, 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Merle Kröger; image: Marvin Systermans",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Milica Tomić,Is There Anything in This World You Would Be Ready to Give Your Life For?,2025,high,https://13.berlinbiennale.de/en/artists/milica-tomic,official_caption,"Milica Tomić, Is There Anything in This World You Would Be Ready to Give Your Life For?, 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Milica Tomić; Charim Galerie, Vienna; Grupa Spomenik Archive, Vienna; Marija Milutinović Archive; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Nge Nom,The Ditch,2025,high,https://13.berlinbiennale.de/en/artists/nge-nom,official_caption,"Nge Nom, The Ditch, 2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Nge Nom; image: Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Padmini Chettur,of a denser time,2025,high,https://13.berlinbiennale.de/en/artists/padmini-chettur,official_caption,"Padmini Chettur, of a denser time, 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Padmini Chettur; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Panties for Peace,Panty Power Attack,2007,high,https://13.berlinbiennale.de/en/artists/panties-for-peace,official_caption,"Panties for Peace, Panty Power Attack, 2007, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Panties for Peace; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Panties for Peace,sticker: Panties for Peace Emblems,2010,high,https://13.berlinbiennale.de/en/artists/panties-for-peace,official_caption,"Panties for Peace, sticker: Panties for Peace Emblems, 2010/25; videos: The Party they don’t want you to know! LPP Pantidates | Burma election 2010, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Panties for Peace; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Panties for Peace,The Party they don’t want you to know! LPP Pantidates | Burma election,2010,high,https://13.berlinbiennale.de/en/artists/panties-for-peace,official_caption,"Panties for Peace, The Party they don’t want you to know! LPP Pantidates | Burma election 2010, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Panties for Peace; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,parallelgesellschaft,Encounters performance at 13th Berlin Biennale,2025,high,https://13.berlinbiennale.de/en/artists/parallelgesellschaft,official_caption,"parallelgesellschaft, Encounters performance at 13th Berlin Biennale, 2025. © parallelgesellschaft; image: Marina Hoppmann",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,People’s Tribunal,Paper Trail,2025,high,https://13.berlinbiennale.de/en/artists/peoples-tribunal,official_caption,"People’s Tribunal, Paper Trail, 2025, documentation and exhibition room, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © People’s Tribunal; image: Marvin Systermans",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Piero Gilardi,Gabbiano accoglienza migranti [Seagull welcomes migrants],2012,high,https://13.berlinbiennale.de/en/artists/piero-gilardi,official_caption,"Piero Gilardi, Gabbiano accoglienza migranti [Seagull welcomes migrants], 2012, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Fondazione Centro Studi Piero Gilardi; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Piero Gilardi,Trofeo Pace vs Terrorismi [Peace trophy vs. terrorism],2015,high,https://13.berlinbiennale.de/en/artists/piero-gilardi,official_caption,"Piero Gilardi, Trofeo Pace vs Terrorismi [Peace trophy vs. terrorism], 2015; Mulino di Trump [Trump’s mill], 2017; Costume avvoltoio [Vulture costume], 2016, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Fondazione Centro Studi Piero Gilardi; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Salik Ansari,Altars of Absences,2025,high,https://13.berlinbiennale.de/en/artists/salik-ansari,official_caption,"Salik Ansari, Altars of Absences, 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Salik Ansari; Sakshi Gallery, Mumbai; image: Marvin Systermans",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Sarnath Banerjee,Critical Imagination Deficit,2025,high,https://13.berlinbiennale.de/en/artists/sarnath-banerjee,official_caption,"Sarnath Banerjee, Critical Imagination Deficit, 2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Sarnath Banerjee; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
